Pasal,Isi,Bab,Bagian
Pasal 524,"Dalam benteng negara, seluruh tanah yang letaknya seperti di bawah ini, dianggap sebagai tanah militer: dalam benteng yang dilengkapi dengan jalan tersembunyi, dan tanggul terdepan, antara kaki jalan tersembunyi dan bila ini diperlengkapi dengan parit depan, sampai dengan tepi bagian luar; Jalan kubu dari benteng itu termasuk di dalamnya, menurut garis lurus yang ditarik dari lekum tirai yang satu ke tirai yang lain; dalam benteng tanpa jalan tersembunyi atau tanggul terdepan, mulai dan bagian bawah tembok utama sampai ke seberang parit pertahanan luar; dalam benteng tanpa bangunan luar, mulai dari pangkal sebelah dalam dari jalan koro kubu sampai ke seberang parit yang melingkar; dan akhirnya bila di belakang pangkal sebelah dalam dari jalan kubu ada parit pembatas, tanggul dan sebagainya, maka jalur tanah itu pun serta tanaman-tanaman dan bangunan di atasnya termasuk tanah militer.",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 525,"Semua benteng yang tidak ditempati, seperti kubu-kubu, pos yang menonjol, tanggul, garis dan meriam, semuanya termasuk tanah militer negara dengan tanah di sekitarnya, yang telah dibeli oleh negara sewaktu benteng itu dibuat.",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 526,Barang milik suatu persekutuan adalah barang milik bersama dari suatu perkumpulan.,Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 527,Barang milik perorangan adalah barang milik seseorang atau beberapa orang secara perseorangan.,Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 528,"Atas suatu barang, orang dapat mempunyai hak besit atau hak milik atau hak waris atau hak menikmati hasil atau hak pengabdian tanah, atau hak gadai atau hak hipotek.",Barang Dan Pembagiannya,Barang Dalam Hubungan Dengan Pemegang Besit
Pasal 529,"Yang dimaksud dengan besit adalah kedudukan menguasai atau menikmati suatu barang yang ada dalam kekuasaan seseorang secara pribadi atau dengan perantaraan orang lain, seakan-akan barang itu miliknya sendiri.",Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 530,Besit ada yang dalam itikad baik dan ada yang dalam itikad buruk.,Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 531,Besit dalam itikad baik terjadi bila pemegang besit memperoleh barang itu dengan mendapatkan hak milik tanpa mengetahui adanya cacat cela di dalamnya.,Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 532,"Besit dalam itikad buruk terjadi bila pemegarignya mengetahui, bahwa barang yang dipegangnya bukanlah hak miliknya. Bila pemegang besit digugat di muka Hakim dan dalam hal ini dikalahkan, maka ia dianggap beritikad buruk sejak perkara diajukan.",Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 533,"Pemegang besit harus selalu dianggap beritikad baik barangsiapa menuduhnya beritikad buruk, harus membuktikannya.",Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 534,"Pemegang besit harus selalu dianggap memegangnya untuk diri sendiri, selama tidak terbukti, bahwa ia memegangnya untuk orang lain.",Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 535,"Pemegang besit yang mulai memegangnya untuk orang lain, selama tidak terbukti sebaliknya, harus selalu dianggap melanjutkan besit itu berdasarkan hak yang sama.",Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 536,"Baik atas kehendak sendiri maupun karena lewatnya waktu, pemegang besit tidak dapat mengubah alasan dan dasarnya untuk diri sendiri.",Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 537,"Barang yang tidak ada dalam peredaran perdagangan, tidak dapat menjadi obyek besit. Hal ini berlaku juga terhadap hak pengabdian tanah, baik yang tidak abadi maupun yang tidak tampak, kecuali yang ditentukan dalam Pasal 553.",Besit Dan Hak-Hak Yang Timbul Karenanya,Sifat Besit Dan Barang-Barang Yang Dapat Menjadi Obyek Besit
Pasal 538,Besit atas suatu barang diperoleh dengan menarik suatu barang ke dalam kekuasaannya dengan maksud mempertahankannya untuk diri sendiri.,Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 539,"Orang gila tidak dapat memperoleh besit untuk diri sendiri. Anak belum dewasa dan wanita bersuami dengan melakukan perbuatan tersebut di atas, dapat memperoleh besit atas suatu barang.",Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 540,"Orang dapat memperoleh suatu besit atau suatu barang, baik dengan diri sendiri, maupun dengan perantaraan orang lain yang bertindak atas namanya. Dalam hal yang terakhir ini, orang malah dapat memperoleh besit, sebelum mengetahui besit atas barang tersebut diperolehnya.",Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 541,"Besit orang yang meninggal atas segala sesuatu yang dikuasainya semasa hidupnya, sejak saat meninggalnya beralih kepada ahli warisnya dengan segala sifat dan cacat celanya.",Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 542,Orang dianggap telah memegang besit atas segala suatu barang selama barang itu tidak beralih kepada pihak lain atau belum ditinggalkan secara nyata.,Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 543,"Orang kehilangan besit, atas kehendak sendiri, bila barang itu diserahkan kepada orang lain.",Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 544,"Orang kehilangan besit, sekalipun tanpa kehendak untuk menyerahkannya kepada orang lain, bila barang yang dikuasainya ditinggalkannya secara nyata.",Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 545,"Orang kehilangan besit atas sebidang tanah pekarangan atau bangunan tanpa kehendak sendiri bila pihak lain, tanpa memperdulikan kehendak pemegang besit, menarik besit itu kepada dirinya dan menikmatinya selama satu tahun tanpa gangguan apa pun; bila sebidang pekarangan, karena suatu peristiwa yang luar biasa, tenggelam, kebanjiran. Besit tidak hilang karena suatu banjir yang bersifat sementara. Besit atas barang bergerak berakhir bagi pemegangnya dengan cara seperti yang diatur dalam alinea pertama pasal ini. ",Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 546,Besit atas suatu barang bergerak berakhir tanpa dikehendaki pemegangnya:  bila barang itu diambil atau dicuri orang lain; bila barang itu hilang dan tidak diketahui di mana barang itu berada. ,Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 547,"Besit atas barang tak bertubuh berakhir bagi pemegangnya, bila orang lain selama satu tahun menikmatinya tanpa gangguan apa pun.",Besit Dan Hak-Hak Yang Timbul Karenanya,"Cara Mendapatkan Besit, Mempertahankannya, Dan Berakhirnya"
Pasal 548,"Besit dengan itikad baik memberi hak atas suatu barang kepada pemegangnya: untuk dianggap sebagai pemilik barang untuk sementara, sampai saat barang itu dituntut kembali di muka Hakim; untuk dapat memperoleh hak milik atas barang itu karena lewat waktu; 3. untuk menikmati segala hasilnya sampai saat barang itu dituntut kembali di muka hakim; untuk mempertahankan besitnya bila ia digangu dalam memegangnya, atau dipulihkan kembali besitnya bila Ã­a kehilangan besitnya itu.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 549,"Besit dengan itikad buruk memberi hak kepada pemegangnya atas suatu barang: 1. untuk dianggap sebagai pemilik barang itu untuk sementara, sampai saat barang itu dituntut kembali di muka Hakim; untuk menikmati segala hasil dari barang itu tetapi berkewajiban untuk mengembalikannya kepada yang berhak; untuk dipertahankan dan dipulihkan besitnya seperti disebutkan dalam nomor 4 pasal yang lalu.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 550,"Tuntutan untuk mempertahankan besit boleh diajukan di muka Hakim, bila seseorang terganggu dalam memegang besitnya atas sebidang tanah atau pekarangan, sebuah rumah atau gedung, suatu hak kebendaan atau barang bergerak pada umumnya.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 551,Tuntutan seperti itu juga boleh diajukan sekalipun besit itu diperoleh dari seseorang yang tidak cakap menurut hukum untuk memindahtangankan barang tersebut.,Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 552,"Tuntutan tidak boleh diajukan terhadap orang yang membantah suatu hak pengabdian tanah, kecuali jika sengketa itu mengenai hak pengabdian tanah yang terus bertangsung atau yang nyata tampak.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 553,"Bila timbul suatu perselisihan tentang berlaku tidaknya dasar hukum suatu hak pengabdian tanah yang tidak terus berlangsung atau yang tidak tampak, maka Hakim boleh memerintahkan kepada pihak yang pada waktu terjadinya sengketa menikmatinya, supaya selama sengketa berlangsung, terus menikmatinya.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 554,Tuntutan supaya tetap dipertahankan memegang besit tidak bisa diajukan terhadap barang- barang yang menurut undang-undang si pemegang besit tidak dapat memegang besit atasnya.,Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 555,"Barang bergerak yang bertubuh tidak dapat dijadikan obyek suatu tuntutan di muka Hakim, untuk mempertahankan besit atas barang itu, tanpa mengurangi ketentuan penutup Pasal 550.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 556,"Penyewa, pemegang hak usaha dan mereka yang menguasai suatu barang untuk orang lain, tidak dapat mengajukan gugatan supaya dipertahankan dalam memegang besit.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 557,"Tuntutan untuk mempertahankan besit dapat diajukan terhadap orang-orang yang mengganggu pemegang besit dalam memegang besit itu, bahkan terhadap pemilik barang itu, tetapi tanpa mengurangi hak pemilik itu untuk mengajukan tuntutan berdasarkan hak miliknya. Bila besit itu diperoleh dari pinjam pakai, dengan pencurian atau kekerasan, maka pemegang besit tidak bisa mengajukan tuntutan untuk dipertahankan dalam besitnya terhadap orang dari siapa besit itu diperolehnya atau dari orang dari siapa besit itu diambil.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 558,"Tuntutan utuk mempertahankan besit harus diajukan dalam jangka waktu satu tahun, terhitung mulai hari pemegang besit diganggu dalam memegang besit.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 559,"Tuntutan ini bertujuan supaya gangguan dihentikan dan pemegang besit dipertahankan dalam kedudukannya dengan penggantian biaya, kerugian dan bunga.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 560,"Besit harus dianggap selalu ada pada orang yang tidak pernah kehilangan haknya atas besit, yang kemudian oleh Hakim dipertahankan kedudukannya tanpa mengurangi apa yang lebih lanjut diatur tentang buah hasilnya.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 561,"Bila dalam suatu perkara kedua pihak saling menuntut supaya dipertahankan kedudukannya dalam memegang besit, dan Hakim berpendapat bahwa kedudukan itu tidak terbukti sebagaimana patutnya, maka tanpa memberi keputusan tentang hak besit, Hakim berkuasa memerintahkan agar kedua belah pihak beperkara tentang pemilikan barang, atau salah satu pihak diakui sementara sebagai pemegangnya. Pemegang besit ini hanya diberikan hak menikmati barang itu selama perkara tentang hak milik berjalan, dengan kewajiban memberi perhitungan atas hasil-hasil yang telah dinikmatinya.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 562,"Bila pemegang besit atas pekarangan atau bangunan kehilangan besitnya tanpa kekerasan, maka ia dapat mengajukan tuntutan terhadap pemegangnya supaya dipulihkan atau dipertahankan besitnya.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 563,"Dalam hal terjadi suatu perampasan dengan kekerasan. gugatan untuk memulihkan besit harus diajukan, baik terhadap mereka yang melakukan kekerasan, maupun terhadap mereka yang memerintahkannya. Masing-masing mereka bertanggung jawab tanggung menanggung atas seluruhnya. Agar gugatan dapat diterima, penggugat hanya diwajibkan membuktikan perbuatan merampas dengan kekerasan.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 564,Gugatan yang sama dapat diajukan terhadap semua orang yang dengan itikad buruk melepaskan besit.,Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 565,"Gugatan supaya besit dipulihkan dan dipertahankan, yang dibicarakan dalam Pasal 562, harus diajukan dalam tenggang waktu satu tahun, terhitung dari hari penggugat mulai kehilangan seluruh kedudukannya",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 566,Gugatan untuk penyerahan kembali dan pemulihan besit selalu bermaksud supaya pemegang besit yang semula dipertahankan atau dipulihkan dalam kedudukannya dan agar ia dianggap seakan-akan tidak pernah kehilangan kedudukannya.,Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 567,"Dalam hubungan dengan gugatan-gugatan ini, bagi pemegang besit, baik yang beritikad baik maupun beritikad buruk, tenggang hak menikmati hasil dan tentang biaya yang dikeluarkan selama memegang besit, berlaku ketentuan-ketentuan yang diatur dalam Bab III tentang hal yang sama untuk penuntutan kembali hak milik.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 568,"Juga setelah lewat waktu satu tahun yang ditentukan dalam undang-undang untuk mengajukan gugatan akan pemulihan besit, seseorang yang besitnya dirampas dengan kekerasan, berhak menuntut dengan gugatan biasa, agar yang melakukan kekerasan dihukum untuk menyerahkan kembali apa yang dirampas dan mengganti segala Biaya, kerugian dan bunga, akibat dari perbuatan itu.",Besit Dan Hak-Hak Yang Timbul Karenanya,Hak-Hak Yang Timbul Karena Besit
Pasal 570,"Hak milik adalah hak untuk menikmati suatu barang secara lebih leluasa dan untuk berbuat terhadap barang itu secara bebas sepenuhnya, asalkan tidak bertentangan dengan undang-undang atau peraturan umum yang ditetapkan oleh kuasa yang berwenang dan asal tidak mengganggu hak-hak orang lain; kesemuanya itu tidak mengurangi kemungkinan pencabutan hak demi kepentingan umum dan penggantian kerugian yang pantas, berdasarkan ketentuanketentuan perundang-undangan.",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 571,"Hak milik atas sebidang tanah meliputi hak milik atas segala sesuatu yang ada di atasnya dan di dalam tanah itu. Di atas sebidang tanah, pemilik boleh mengusahakan segala tanaman dan mendirikan bangunan yang dikehendakinya, hal ini tidak mengurangi pengecualian- pengecualian tersebut dalam Bab IV dan VI buku ini. Di bawah tanah itu ia boleh membangun dan menggali sesuka hatinya dan mengambil semua hasil yang diperoleh dari galian itu; ; hal ini tidak mengurangi perubahan-perubahan dalam perundang-undangan dan peraturan pemerintah tentang pertambangan, pengambilan bara, dan barang-barang semacam itu.",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 572,"Setiap hak milik harus dianggap bebas. Barangsiapa menyatakan mempunyai hak atas barang orang lain, harus membuktikan hak itu",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 573,"Pembagian suatu barang yang dimiliki lebih dari seorang, harus dilakukan menurut ketentuan- ketentuan yang ditetapkan tentang pemisahan dan pembagian harta peninggalan.",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 574,"Pemilik barang berhak menuntut siapa pun juga yang menguasai barang itu, supaya mengembalikannya dalam keadaan sebagaimana adanya.",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 575,"Pemegang besit dengan itikad baik berhak menguasai segala hasil yang telah dinikmatinya dari barang yang dituntut kembali, sampai pada hari ÃÂ­a digugat di muka Hakim. Ia wajib mengembalikan kepada pemilik barang itu segala hasil yang dinikmatinya sejak ÃÂ­a digugat, setelah dikurangi segala biaya untuk memperolehnya, yaitu untuk penanaman, pembenihan dan pengolahan tanah. Selanjutnya ia berhak menuntut kembali segala biaya yang telah harus dikeluarkan guna menyelamatkan dan demi kepentingan barang tersebut, demikian pula ÃÂ­a berhak menguasai barang yang diminta kembali itu selama ia belum mendapat penggantian biaya dan pengeluaran tersebut dalam pasal ini.",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 576,"Dengan hak dan cara yang sama, pemegang besit dengan itikad baik, dalam menyerahkan kembali barang yang diminta, boleh menuntut kembali segala biaya untuk memperoleh hasil seperti diterangkan di atas, sekedar hasil itu belum terpisah dari tanah pada saat penyerahan kembali barang yang bersangkutan.",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 577,Sebaliknya ia tidak berhak menggugat kembali biaya yang dikeluarkan untuk memperoleh hasil yang dinikmati karena kedudukannya sebagai pemegang besit.,Hak Milik,Ketentuan-Ketentuan Umum
Pasal 578,"Demikian pula ia tidak berhak, dalam menyerahkan kembali barang itu, untuk memperhitungkan segala biaya dan pengeluaran yang telah dikeluarkan olehnya guna memelihara barang itu, yang dalam hal ini tidak termasuk biaya guna menyelamatkan dan memperbaiki keadaan barang itu sebagaimana disebut dalam Pasal 575. Bila timbul perselisihan tentang apa yang harus dianggap sebagai biaya pemeliharaan, haruslah diikuti peraturan tentang hak pakai hasil perihal itu.",Hak Milik,Ketentuan-Ketentuan Umum
Pasal 579,"Pemegang besit beritikad buruk berkewajiban: mengembalikan segala hasil suatu barang beserta barang itu sendiri, bahkan juga hasil yang kendati tidak dinikmatinya, sedianya dapat dinikmati oleh pemilik; tetapi sebagaimana ditetapkan dalam Pasal 575, boleh ia mengurangkan atau menuntut kembali biaya yang dikeluarkan guna menyelamatkan barang itu selama dalam kekuasaannya dan juga biaya demikian yang dikeluarkan guna memperoleh hasil itu, yakni untuk penanaman, pembenihan dan pengolahan tanah; mengganti segala biaya, kerugian dan bunga; membayar harga barang bila ia tidak dapat mengembalikan barang itu, juga manakala barang itu hilang di luar kesalahannya atau karena kebetulan, kecuali jika ia dapat membuktikan bahwa barang itu akan lenyap juga, sekalipun besit atas barang itu",Hak Milik,Ketentuan-Ketentuan Umum
