Pasal,Isi,Bab,Bagian
Pasal 1246,"Biaya, ganti rugi dan bunga, yang boleh dituntut kreditur, terdiri atas kerugian yang telah dideritanya dan keuntungan yang sedianya dapat diperolehnya, tanpa mengurangi pengecualian dan perubahan yang disebut di bawah ini.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1247,"Debitur hanya diwajibkan mengganti biaya, kerugian dan bunga, yang diharap atau sedianya dapat diduga pada waktu perikatan diadakan, kecuali jika tidak dipenuhinya perikatan itu disebabkan oleh tipu daya yang dilakukannya.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1248,"Bahkan jika tidak dipenuhinya perikatan itu disebabkan oleh tipu daya debitur, maka penggantian biaya, kerugian dan bunga, yang menyebabkan kreditur menderita kerugian dan kehilangan keuntungan, hanya mencakup hal-hal yang menjadi akibat langsung dari tidak dilaksanakannya perikatan itu.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1249,"Jika dalam suatu perikatan ditentukan bahwa pihak yang lalai memenuhinya harus membayar suatu jumlah uang tertentu sebagai ganti kerugian, maka kepada pihak lain-lain tak boleh diberikan suatu jumlah yang lebih ataupun yang kurang dari jumlah itu.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1250,"Dalam perikatan yang hanya berhubungan dengan pembayaran sejumlah uang, penggantian biaya, kerugian dan bunga yang timbul karena keterlambatan pelaksanaannya, hanya terdiri atas bunga yang ditentukan oleh undang-undang tanpa mengurangi berlakunya peraturan undang- undang khusus. Penggantian biaya, kerugian dan bunga itu wajib dibayar, tanpa perlu dibuktikan adanya suatu kerugian o!eh kreditur. Penggantian biaya,. kerugian dan bunga itu baru wajib dibayar sejak diminta di muka Pengadilan, kecuali bila undang-undang menetapkan bahwa hal itu berlaku demi hukum.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1251,"Bunga uang pokok yang dapat ditagih dapat pula menghasilkan bunga, baik karena suatu permohonan di muka Pengadilan, maupun karena suatu persetujuan yang khusus, asal saja permintaan atau persetujuan tersebut adalah mengenai bunga yang harus dibayar untuk satu tahun.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1252,"Walaupun demikian, penghasilan yang dapat ditagih, seperti uang upah tanah dan uang sewa lain, bunga abadi atau bunga sepanjang hidup seseorang, menghasilkan bunga mulai hari dilakukan penuntutan atau dibuat persetujuan. Peraturan yang sama berlaku terhadap pengembalian hasil-hasil sewa dan bunga yang dibayar oleh seorang pihak ketiga kepada kreditur untuk pembebasan debitur.",Perikatan Pada Umumnya,"Penggantian Biaya, Kerugian Dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
Pasal 1253,"Suatu perikatan adalah bersyarat jika digantungkan pada suatu peristiwa yang mungkin terjadi dan memang belum terjadi, baik dengan cara menangguhkan berlakunya perikatan itu sampai terjadinya peristiwa itu, maupun dengan cara membatalkan perikatan itu, tergantung pada terjadi tidaknya peristiwa itu.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1254,"Semua syarat yang bertujuan melakukan sesuatu yang tak mungkin terlaksana, sesuatu yang bertentangan dengan kesusilaan yang baik, atau sesuatu yang dilarang oleh undang-undang adalah batal dan mengakibatkan persetujuan yang digantungkan padanya tak berlaku.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1255,"Syarat yang bertujuan tidak melakukan sesuatu yang tak mungkin dilakukan, tidak membuat perikatan yang digantungkan padanya tak berlaku.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1256,"Semua perikatan adalah batal, jika pelaksanaannya semata-mata tergantung pada kemauan orang yang terikat. Tetapi jika perikatan tergantung pada suatu perbuatan yang pelaksanaannya",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1257,Semua syarat harus dipenuhi dengan cara yang dikehendaki dan dimaksudkan oleh pihak-pihak yang bersangkutan.,Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1258,"Jika suatu perikatan tergantung pada suatu syarat bahwa suatu peristiwa akan terjadi dalam waktu tertentu, maka syarat tersebut dianggap tidak ada, bila waktu tersebut telah lampau sedangkan peristiwa tersebut setiap waktu dapat dipenuhi, dan syarat itu tidak dianggap tidak ada sebelum ada kepastian bahwa peristiwa itu tidak akan terjadi.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1259,"Jika suatu perikatan tergantung pada syarat bahwa suatu peristiwa tidak akan terjadi dalam waktu tertentu, maka syarat tersebut telah terpenuhi bila waktu tersebut lampau tanpa terjadinya peristiwa itu. Begitu pula bila syarat itu telah terpenuhi, jika sebelum waktu tersebut lewat telah ada kepastian bahwa peristiwa itu tidak akan terjadinya, tetapi tidak ditetapkan suatu waktu, maka syarat itu tidak terpenuhi sebelum ada kepastian bahwa peristiwa tersebut tidak akan terjadi.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1260,"Syarat yang bersangkutan dianggap telah terpenuhi, jika debitur yang terikat oleh syarat itu menghalangi terpenuhinya syarat itu.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1261,"Bila syarat telah terpenuhi, maka syarat itu berlaku surut hingga saat terjadinya perikatan. Jika kreditur meninggal sebelum terpenuhinya syarat, maka hak-haknya berpindah kepada para ahli warisnya.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1262,Kreditur sebelum syarat terpenuhi boleh melakukan segala usaha yang perlu untuk menjaga supaya haknya jangan sampai hilang.,Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1263,"Suatu perikatan dengan syarat tunda adalah suatu perikatan yang tergantung pada suatu peristiwa yang masih akan datang dan belum tentu akan terjadi, atau yang tergantung pada suatu hal yang sudah terjadi tetapi hal itu tidak diketahui oleh kedua belah pihak. Dalam hal pertama, perikatan tidak dapat dilaksanakan sebelum peristiwanya terjadi  dalam hal kedua, perikatan mulai berlaku sejak terjadi.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1264,"Jika suatu perikatan tergantung pada suatu syarat yang ditunda, maka barang yang menjadi pokok perikatan tetap menjadi tanggungan debitur, yang hanya wajib menyerahkan barang itu",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1265,"Suatu syarat batal adalah syarat yang bila dipenuhi akan menghapuskan perikatan dan membawa segala sesuatu kembali pada keadaan semula, seolah-olah tidak pernah ada suatu perikatan.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1266,"Syarat batal dianggap selalu dicantumkan dalam persetujuan yang timbal balik, andaikata salah satu pihak tidak memenuhi kewajibannya. Dalam hal demikian persetujuan tidak batal demi hukum, tetapi pembatalan harus dimintakan kepada Pengadilan.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1267,"Pihak yang terhadapnya perikatan tidak dipenuhi, dapat memilih  memaksa pihak yang lain untuk memenuhi persetujuan, jika hal itu masih dapat dilakukan, atau menuntut pembatalan persetujuan, dengan penggantian biaya, kerugian dan bunga.",Perikatan Pada Umumnya,Perikatan Bersyarat
Pasal 1268,"Waktu yang ditetapkan tidaklah menunda perikatan, melainkan hanya pelaksanaannya.",Perikatan Pada Umumnya,Perikatan-Perikatan Dengan Waktu Yang Ditetapkan
Pasal 1269,"Apa yang harus dibayar pada waktu yang ditentukan itu, tidak dapat ditagih sebelum waktu itu tiba  tetapi apa yang telah dibayar sebelum waktu itu, tak dapat diminta kembali.",Perikatan Pada Umumnya,Perikatan-Perikatan Dengan Waktu Yang Ditetapkan
Pasal 1270,"Waktu yang ditetapkan selalu ditentukan untuk kepentingan debitur, kecuali jika dari sifat perikatan sendiri atau keadaan ternyata bahwa waktu itu ditentukan untuk kepentingan kreditur.",Perikatan Pada Umumnya,Perikatan-Perikatan Dengan Waktu Yang Ditetapkan
Pasal 1271,"Debitur tidak dapat lagi menarik manfaat dan suatu ketetapan waktu, jika ia telah dinyatakan pailit, atau jika jaminan yang diberikannya kepada kreditur telah merosot karena kesalahannya sendiri.",Perikatan Pada Umumnya,Perikatan-Perikatan Dengan Waktu Yang Ditetapkan
Pasal 1272,"Dalam perikatan dengan pilihan, debitur dibebaskan jika ia menyerahkan salah satu dari dua barang yang disebut dalam perikatan, tetapi ia tidak dapat memaksa kreditur untuk menerima sebagian dari barang yang satu dan sebagian dari barang yang lain.",Perikatan Pada Umumnya,Perikatan Dengan Pilihan Atau Perikatan Yang Boleh Dipilih Oleh Salah Satu Pihak
Pasal 1273,"Hak memilih ada pada debitur, jika hal ini tidak secara tegas diberikan kepada kreditur.",Perikatan Pada Umumnya,Perikatan Dengan Pilihan Atau Perikatan Yang Boleh Dipilih Oleh Salah Satu Pihak
Pasal 1274,"Suatu perikatan adalah murni dan sederhana, walaupun perikatan itu disusun secara boleh pilih atau secara mana suka, jika salah satu dari kedua barang yang dijanjikan tidak dapat menjadi pokok perikatan.",Perikatan Pada Umumnya,Perikatan Dengan Pilihan Atau Perikatan Yang Boleh Dipilih Oleh Salah Satu Pihak
Pasal 1275,"Suatu perikatan dengan pilihan adalah murni dan sederhana, jika salah satu dari barang yang dijanjikan hilang, atau karena kesalahan debitur tidak dapat diserahkan lagi. Harga dari barang itu tidak dapat ditawarkan sebagai ganti salah satu barang, dia harus membayar harga barang yang paling akhir hilang.",Perikatan Pada Umumnya,Perikatan Dengan Pilihan Atau Perikatan Yang Boleh Dipilih Oleh Salah Satu Pihak
Pasal 1276,"Jika dalam hal-hal yang disebutkan dalam pasal lalu pilihan diserahkan kepada kreditur dan hanya salah satu barang saja yang hilang, maka jika hal itu terjadi di luar kesalahan debitur, kreditur harus memperoleh barang yang masih ada  jika hilangnya salah satu barang tadi terjadi karena salahnya debitur, maka kreditur dapat menuntut penyerahan barang yang masih ada atau harga barang yang telah hilang. Jika kedua barang lenyap, maka bila hilangnya barang itu, salah satu saja pun, terjadi karena kesalahan debitur, kreditur boleh menuntut pembayaran harga salah satu barang itu menurut pilihannya.",Perikatan Pada Umumnya,Perikatan Dengan Pilihan Atau Perikatan Yang Boleh Dipilih Oleh Salah Satu Pihak
Pasal 1277,"Prinsip yang sama juga berlaku, baik jika ada lebih dari dua barang termaktub dalam perikatan maupun jika perikatan itu adalah mengenai berbuat sesuatu ataupun tidak berbuat sesuatu.",Perikatan Pada Umumnya,Perikatan Dengan Pilihan Atau Perikatan Yang Boleh Dipilih Oleh Salah Satu Pihak
Pasal 1278,"Suatu perikatan tanggung-menanggung atau perikatan tanggung renteng terjadi antara beberapa kreditur, jika dalam bukti persetujuan secara tegas kepada masing-masing diberikan hak untuk menuntut pemenuhan seluruh utang, sedangkan pembayaran yang dilakukan kepada salah seorang di antara mereka, membebaskan debitur, meskipun perikatan itu menurut sifatnya dapat dipecah dan dibagi antara para kreditur tadi.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1279,"Selama belum digugat oleh salah satu kreditur, debitur bebas memilih, apakah ia akan membayar utang kepada yang satu atau kepada yang lain di antara para kreditur. Meskipun demikian, pembebasan yang diberikan oleh salah seorang kreditur dalam suatu perikatan tanggung menanggung, tak dapat membebaskan debitur lebih dari bagian kreditur tersebut.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1280,"Di pihak para debitur terjadi suatu perikatan tanggung-menanggung, manakala mereka semua wajib melaksanakan satu hal yang sama, sedemikian rupa sehingga salah satu dapat dituntut untuk seluruhnya, dan pelunasan oleh salah satu dapat membebaskan debitur lainnya terhadap kreditur.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1281,"Suatu perikatan dapat bersifat tanggung-menanggung, meskipun salah satu debitur itu diwajibkan memenuhi hal yang sama dengan cara berlainan dengan teman-temannya sepenanggungan, misalnya yang satu terikat dengan bersyarat, sedangkan yang lain terikat secara murni dan sederhana, atau terhadap yang satu telah diberikan ketetapan waktu dengan persetujuan, sedang terhadap yang lainnya tidak diberikan.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1282,Tiada perikatan yang dianggap sebagai perikatan tanggung-menanggung kecuali jika dinyatakan dengan tegas. Ketentuan ini hanya dikecualikan dalam hal mutu perikatan dianggap sebagai perikatan tanggung-menanggung karena kekuatan penetapan undang-undang.,Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1283,"Kreditur dalam suatu perikatan tanggung-menanggung dapat menagih piutangnya dari salah satu debitur yang dipilihnya, dan debitur ini tidak dapat meminta agar utangnya dipecah.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1284,Penuntutan yang ditujukan kepada salah seorang debitur tidak menjadi halangan bagi kreditur itu untuk melaksanakan haknya terhadap debitur lainnya.,Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1285,"Jika barang yang harus diberikan musnah karena kesalahan seorang debitur tanggung renteng atau lebih, atau setelah debitur itu dinyatakan lalai, maka para kreditur lainnya tidak bebas dari kewajiban untuk membayar harga barang itu, tetapi mereka tidak wajib untuk membayar",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1286,"Tuntutan pembayaran bunga yang diajukan terhadap salah satu di antara para debitur yang menyebabkan lenyapnya barang itu, maupun dari mereka yang lalai memenuhi perikatan.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1287,"Seorang debitur dalam suatu perikatan tanggung-menanggung yang dituntut oleh kreditur, dapat memajukan semua bantahan yang timbul dari sifat perikatan dan yang mengenai dirinya sendiri, pula semua bantahan yang mengenai diri semua debitur lain. Ia tidak dapat memakai bantahan yang hanya mengenai beberapa debitur saja.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1288,"Jika salah satu debitur menjadi satu-satunya ahli waris kreditur, atau jika kreditur merupakan satu-satunya ahli waris salah satu debitur, maka percampuran utang ini tidak mengakibatkan tidak berlakunya perikatan tanggung-menanggung kecuali untuk bagian dari debitur atau kreditur yang bersangkutan.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1289,"Kreditur yang telah menyetujui pembagian piutangnya terhadap salah satu debitur, tetap memiliki piutang terhadap para debitur yang lain, tetapi dikurangi bagian debitur yang telah dibebaskan dari perikatan tanggung-menanggung.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1290,"Kreditur yang menerima bagian salah satu debitur tanpa melepaskan haknya berdasarkan utang tanggung renteng sendiri atau hak-haknya pada umumnya, tidak menghapuskan haknya secara tanggung renteng, melainkan hanya terhadap debitur tadi.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1291,"Kreditur yang menerima secara tersendiri dan tanpa syarat bagian dari salah satu debitur dalam pembayaran bunga tunggakan dari suatu utang, hanya kehilangan haknya sendiri terhadap bunga yang telah harus dibayar dan tidak terhadap bunga yang belum tiba waktunya untuk ditagih atau utang pokok, kecuali bila pembayaran tersendiri itu telah terjadi selama sepuluh tahun berturut-turut.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1292,"Suatu perkiraan, meskipun menjadi tanggung jawab kreditur sendiri, menurut hukum dapat dihadapi para debitur secara terbagi-bagi, masing-masing untuk bagiannya sendiri-sendiri.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1293,"Seorang debitur yang telah melunasi utangnya dalam suatu perikatan tanggung-menanggung, tidak dapat menuntut kembali dari para debitur Iainnya lebih daripada bagian mereka masing- masing. Jika salah satu di antara mereka tidak mampu untuk membayar, maka kerugian yang disebabkan oleh ketidakmampuan itu harus dipikul bersama-sama oleh para debitur Iainnya dan debitur yang telah melunasi utangnya, menurut besarnya bagian masing-masing.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1294,"Jika kreditur telah membebaskan salah satu debitur dari perikatan tanggung-menanggung, dan seorang atau lebih debitur lainnya menjadi tak mampu, maka bagian dari yang tak mampu itu harus dipikul bersama-sama oleh debitur lainnya, juga oleh mereka yang telah dibebaskan dari perikatan tanggung-menanggung.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1295,"Jika barang yang untuknya orang-orang mengikatkan diri secara tanggung renteng itu hanya menyangkut salah satu di antara mereka, maka mereka masing-masing terikat seluruhnya kepada kreditur, tetapi di antara mereka sendiri mereka dianggap sebagai orang penjamin bagi orang yang bersangkutan dengan barang itu, dan karena itu harus diberi ganti rugi.",Perikatan Pada Umumnya,Perikatantanggung Renteng Atau Perikatan Tanggung-Menanggung
Pasal 1296,"Suatu perikatan dapat dibagi-bagi atau tak dapat dibagi-bagi sekedar pokok perikatan tersebut adalah suatu barang yang penyerahannya atau suatu perbuatan yang pelaksanaannya dapat dibagi-bagi atau tak dapat dibagi-bagi, baik secara nyata maupun tak nyata.",Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1297,"Suatu perikatan tak dapat dibagi-bagi, meskipun barang atau perbuatan yang menjadi pokok perikatan itu, karena sifatnya, dapat dibagi-bagi jika barang atau perbuatan itu, menurut maksudnya, tidak boleh diserahkan atau dilaksanakan sebagian demi sebagian saja.",Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1298,"Bahwa suatu perikatan merupakan perikatan tanggung-menanggung, itu tidak berarti bahwa perikatan itu adalah suatu perikatan yang tak dapat dibagi-bagi.",Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1299,"Suatu perikatan yang dapat dibagi-bagi, harus dilaksanakan antara debitur dan kreditur, seolah- olah perikatan itu tak dapat dibagi-bagi hal dapatnya dibagi-bagi suatu perikatan, itu hanya dapat diterapkan terhadap ahli waris yang tak dapat menagih piutangnya atau tidak wajib membayar utangnya selain untuk bagian masing-masing sebagai ahli waris atau orang yang harus mewakili kreditur atau debitur.  hal dapatnya dibagi-bagi suatu perikatan, itu hanya dapat diterapkan terhadap ahli waris yang tak dapat menagih piutangnya atau tidak wajib",Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1300,"Asas yang ditentukan dalam pasal yang lalu, dikecualikan terhadap: jika utang itu berkenaan dengan suatu hipotek; jika utang itu terdiri atas suatu barang tertentu; jika utang itu mengenai berbagai utang yang dapat dipilih, terserah kepada kreditur, sedang salah satu dari barang-barang itu tak dapat dibagi;",Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1301,"Tiap orang yang bersama-sama wajib memikul suatu utang yang dapat dibagi, bertanggung jawab untuk seluruhnya, meskipun perikatan tidak dibuat secara tanggung-menanggung.",Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1302,Hal yang sama juga berlaku bagi para ahli waris yang diwajibkan memenuhi perikatan seperti itu.,Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1303,"Tiap ahli waris kreditur dapat menuntut pelaksanaan suatu perikatan yang tak dapat dibagi- bagi secara keseluruhan. Tiada seorang pun di antara mereka diperbolehkan sendirian memberi pembebasan dari seluruh utang maupun menerima harganya sebagai ganti barang. Jika hanya salah satu ahli waris memberi pembebasan dari utang yang bersangkutan, atau menerima harga barang yang bersangkutan, maka para ahli waris lainnya tidak dapat menuntut barang tak dapat dibagi-bagi itu, kecuali dengan memperhitungkan bagian dari ahli waris yang telah memberikan pembebasan dari utang atau yang telah menerima harga barang itu.",Perikatan Pada Umumnya,Perikatan-Perikatan Yang Dapat Dibagi-Bagi Dan Perikatan-Perikatan Yang Tidak Dapat Dibagi-Bagi
Pasal 1304,"Perjanjian hukuman adalah suatu perjanjian yang menempatkan seseorang sebagai jaminan pelaksanaan suatu perikatan yang mewajibkannya melakukan sesuatu, jika ia tidak melaksanakan hal itu.",Perikatan Pada Umumnya,Perikatan Dengan Perjanjian Hukuman
Pasal 1305,"Batalnya perikatan pokok mengakibatkan batalnya perjanjian hukuman. Tidak berlakunya perjanjian hukuman, sama sekali tidak mengakibatkan batalnya perjanjian/ perikatan pokok.",Perikatan Pada Umumnya,Perikatan Dengan Perjanjian Hukuman
Pasal 1306,Kreditur dapat juga menuntut pemenuhan perikatan pokok sebagai pengganti pelaksanaan hukuman terhadap kreditur.,Perikatan Pada Umumnya,Perikatan Dengan Perjanjian Hukuman
Pasal 1307,"Penetapan hukuman dimaksudkan sebagai ganti penggantian biaya, kerugian dan bunga, yang diderita kreditur karena tidak dipenuhi perikatan pokok. Ia tidak dapat menuntut utang pokok dan hukumannya bersama-sama, kecuali jika hukuman itu ditetapkan hanya untuk terlambatnya pemenuhan.",Perikatan Pada Umumnya,Perikatan Dengan Perjanjian Hukuman
Pasal 1308,"Entah perikatan pokok itu memuat ketentuan waktu untuk pelaksanaannya entah tidak, hukuman tidak dikenakan, kecuali jika orang yang terikat untuk memberikan sesuatu atau untuk mengerjakan sesuatu itu tidak melaksanakan hal itu.",Perikatan Pada Umumnya,Perikatan Dengan Perjanjian Hukuman
Pasal 1309,"Hukuman dapat diubah oleh Hakim, jika sebagian perikatan pokok telah dilaksanakan.",Perikatan Pada Umumnya,Perikatan Dengan Perjanjian Hukuman
Pasal 1310,"Jika perikatan pokok yang memuat penetapan hukuman adalah mengenai suatu barang yang tak dapat dibagi-bagi, maka hukuman harus dibayar kalau terjadi pelanggaran oleh salah satu ahli waris debitur  dan hukuman ini dapat dituntut, baik untuk seluruhnya dari siapa yang melakukan pelanggaran terhadap perikatan maupun dari masing-masing ahli waris untuk bagiannya, tetapi tanpa mengurangi hak mereka untuk menuntut kembali siapa yang menyebabkan hukuman harus dibayar, segala sesuatu tidak mengurangi hak-hak kreditur hipotek.",Perikatan Pada Umumnya,Perikatan Dengan Perjanjian Hukuman
