Pasal,Isi,Bab,Bagian
Pasal 9,"Bila dalam hal yang dimaksud dalam alinea pertama Pasal 6 permohonan itu dikabulkan, maka surat penetapannya harus disampaikan kepada pegawai catatan sipil di tempat tinggal si  pemohon, pegawai mana harus menuliskannya dalam buku daftar yang sedang berjalan, dan  membuat catatan tentang hal itu pada margin akta kelahiran si pemohon.  Surat penetapan yang diberikan berkenaan dengan dikabulkannya permohonan yang diajukan menurut alinea kedua Pasal 6, dibukukan dalam daftar kelahiran yang sedang berjalan di tempat tinggal yang bersangkutan dan dalam ha! termaksud Pasal 43 alinea pertama Reglemen tentang Catatan Sipil untuk Golongan Eropa, dicatat pula pada margin akta kelahiran.Jika suatu permohonan tidak dikabulkan seperti yang dimaksud dalam alinea yang lalu, maka, Presiden dapat memberikan suatu nama keturunan atau nama depan kepada yang berkepentingan. Surat penetapan mi harus dilakukan sesuai dengan ketentuan pasal yang lalu.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 10,"Diperolehnya suatu nama sesuai dengan ketentuan-ketentuan dalam keempat pasal yang lalu, sekali-kali tidak boleh diajukan sebagal bukti adanya hubungan sanak saudara.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 11,"Tiada seorang pun diperbolehkan mengubah nama depan atau menambahkan nama depan pada namanya, tanpa izin Pengadilan Negeri tempat tinggalnya atas permohonan untuk itu, setelah mendengar jawaban Kejaksaan.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 12,"Bila Pengadilan Negeri mengizinkan penggantian atau penambahan nama depan, maka surat penetapannya harus disampaikan kepada Pegawai Catatan Sipil tempat tinggal si pemohon, dan pegawai itu harus membukukannya dalam daftar yang sedang berjalan, dan mencatatnya pula pada margin akta kelahiran.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 13,"Bila daftar tidak pernah ada, atau telah hilang dipalsui, diubah, robek, dimusnahkan, digelapkan atau dirusak, bila ada akta yang tidak terdapat dalam daftar itu atau bila dalam akta yang dibukukan terdapat kesesatan, kekeliruan atau kesalahan lain maka hal-hal itu dapat menjadi dasar untuk mengadakan penambahan atau perbaikan dalam daftar itu.",Acara Yang Harus Mendahului Perkawinan,Pembetulan Akta Catatan Sipil Dan Penambahannya
Pasal 14,"Permohonan untuk itu hanya dapat diajukan kepada Pengadilan Negeri, yang di daerah hukumnya daftar-daftar itu diselenggarakan atau seharusnya diselenggarakan dan untuk itu Pengadilan Negeri akan mengambil keputusan setelah mendengar kejaksaan dan pihak-pihak yang berkepentingan bila ada cukup alasan dan dengan tidak mengurangi kesempatan banding.",Acara Yang Harus Mendahului Perkawinan,Pembetulan Akta Catatan Sipil Dan Penambahannya
Pasal 15,Keputusan ini hanya berlaku antara pihak-pihak yang telah memohon atau yang pernah dipanggil.,Acara Yang Harus Mendahului Perkawinan,Pembetulan Akta Catatan Sipil Dan Penambahannya
Pasal 16,"Semua keputusan tentang pembetulan atau penambahan pada akta, yang telah memperoleh kekuatan tetap, harus dibuktikan oleh Pegawai Catatan Sipil dalam daftar-daftar yang sedang berjalan segera setelah diterbitkan dan bila ada perbaikan hal itu harus diberitakan pada margin akta yang diperbaiki, sesuai dengan ketentuan-ketentuan Reglemen tentang Catatan Sipil.",Acara Yang Harus Mendahului Perkawinan,Pembetulan Akta Catatan Sipil Dan Penambahannya
Pasal 17,"Setiap orang dianggap bertempat tinggal di tempat yang dijadikan pusat kediamannya. Bila tidak ada tempat kediaman yang demikian, maka tempat kediaman yang sesungguhnya dianggap sebagai tempat tinggalnya.",Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 18,Perubahan tempat tinggal terjadi dengan pindah rumah secara nyata ke tempat lain disertai niat untuk menempatkan pusat kediamannya di sana.,Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 19,"Niat itu dibuktikan dengan menyampaikan pernyataan kepada Kepala Pemerintahan, baik di tempat yang ditinggalkan, maupun di tempat tujuan pindah rumah kediaman. Bila tidak ada pernyataan, maka bukti tentang adanya niat itu harus disimpulkan dari keadaan-keadaannya.",Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 20,"Mereka yang ditugaskan untuk menjalankan dinas umum, dianggap bertempat tinggal di tempat mereka melaksanakan dinas.",Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 21,"Seorang perempuan yang telah kawin dan tidak pisah meja dan ranjang, tidak mempunyai tempat tinggal lain daripada tempat tinggal suaminya; anak-anak di bawah umur mengikuti tempat tinggal salah satu dan kedua orang tua mereka yang melakukan kekuasaan orang tua  atas mereka, atau tempat tinggal wali mereka; orang-orang dewasa yang berada di bawah pengampuan mengikuti tempat tinggal pengampuan mereka",Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 22,"Dengan tidak mengurangi ketentuan dalam pasal yang lalu, buruh mempunyai tempat tinggal di rumah majikan mereka bila mereka tinggal serumah dengannya.",Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 23,Yang dianggap sebagai rumah kematian seseorang yang meninggal dunia adalah rumah tempat tinggalnya yang terakhir.,Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 24,"Dalam suatu akta dan terhadap suatu soal tertentu, kedua pihak atau salah satu pihak bebas untuk memilih tempat tinggal yang lain daripada tempat tinggal yang sebenarnya. Pemilihan itu dapat dilakukan secara mutlak, bahkan sampai meliputi pelaksanaan putusan Hakim, atau dapat dibatasi sedemikian rupa sebagaimana dikehendaki oleh kedua pihak atau salah satu pihak. Dalam hal ini surat-surat juru sita, gugatan-gugatan atau tuntutan-tuntutan yang tercantum atau termaksud dalam akta itu boleh dilakukan di tempat tinggal yang dipilih dan di muka Hakim tempat tinggal itu.",Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 25,"Bila hal sebaliknya tidak disepakati, masing-masing pihak boleh mengubah tempat tinggal yang dipilih untuk dirinya, asalkan tempat tinggal yang baru tidak lebih dan sepuluh pal jauhnya dari tempat tinggal yang lama dan perubahan itu diberitahukan kepada pihak yang lain / pihak lawan.",Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 26,Undang-undang memandang soal perkawinan hanya dalam hubungan-hubungan perdata.,Acara Yang Harus Mendahului Perkawinan,Tidak terdapat Dalam Bagian
Pasal 27,"Pada waktu yang sama, seorang lelaki hanya boleh terikat perkawinan dengan satu orang perempuan saja  dan seorang perempuan hanya dengan satu orang lelaki saja.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 28,Asas perkawinan menghendaki adanya persetujuan bebas dan calon suami dan calon istri.,Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 29,"Laki-laki yang belum mencapai umur delapan belas tahun penuh dan perempuan yang belum mencapai umur lima belas tahun penuh, tidak diperkenankan mengadakan perkawinan. Namun jika ada alasan-alasan penting, Presiden dapat menghapuskan larangan ini dengan memberikan dispensasi.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 30,"Perkawinan dilarang antara mereka yang satu sama lainnya mempunyai hubungan darah dalam garis ke atas maupun garis ke bawah, baik karena kelahiran yang sah maupun karena kelahiran yang tidak sah, atau karena perkawinan dalam garis ke samping, antara kakak beradik laki perempuan, sah atau tidak sah.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 31,"Juga dilarang perkawinan: 1. antara ipar laki-laki dan ipar perempuan, sah atau tidak sah, kecuali bila suami atau istri yang menyebabkan terjadinya periparan itu telah meninggal atau bila atas dasar  ketidakhadiran si suami atau si istri telah diberikan izin oleh Hakim kepada suami atau istri yang tinggal untuk melakukan perkawinan lain; 2. antara paman dan atau paman orang tua dengan kemenakan perempuan kemenakan, demikian pula antara bibi atau bibi orang tua dengan kemenakan laki-laki kemenakan, yang sah atau tidak sah. Jika ada alasan-alasan penting, Presiden dengan memberikan dispensasi, berkuasa menghapuskan larangan yang tercantum dalam pasal ini.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 32,"Seseorang yang dengan keputusan pengadilan telah dinyatakan melakukan zina, sekali-kali tidak diperkenankan kawin dengan pasangan zinanya itu.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 33,"Antara orang-orang yang perkawinannya telah dibubarkan sesuai dengan ketentuan Pasal 199 nomor 3 atau 4, tidak diperbolehkan untuk kedua kalinya dilaksanakan perkawinan kecuali setelah lampau satu tahun sejak pembubaran perkawinan mereka yang didaftarkan dalam daftar Catatan Sipil. Perkawinan lebih lanjut antara orang-orang yang sama dilarang.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 34,"Seorang perempuan tidak diperbolehkan melakukan perkawinan baru, kecuali setelah lampau jangka waktu tiga ratus hari sejak pembubaran perkawinan yang terakhir.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 35,"Untuk melaksanakan perkawinan, anak sah di bawah umur memerlukan izin kedua orang tuanya. Akan tetapi bila hanya salah seorang dan mereka memberi izin dan yang lainnya telah dipecat dan kekuasaan orang tua atau perwalian atas anak itu, maka Pengadilan Negeri di daerah tempat tinggal anak itu, atas permohonannya, berwenang memberi izin melakukan perkawinan itu, setelah mendengar atau memanggil dengan sah mereka yang izinnya menjadi syarat beserta keluarga sedarah atau keluarga-keluarga semenda. Bila salah satu orang tua telah meninggal atau berada dalam keadaan tak mampu menyatakan kehendaknya, maka izin cukup diperoleh dan orang tua yang lain.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 36,"Selain izin yang diharuskan dalam pasal yang lalu, anak-anak sah yang belum dewasa memerlukan juga izin dan wali mereka, bila yang melakukan perwalian adalah orang lain daripada bapak atau ibu mereka bila izin itu diperbolehkan untuk kawin dengan wali itu atau dengan salah satu dan keluarga sedarahnya dalam garis lurus, diperlukan izin dan wali pengawas.Bila wali atau wali pengawas atau bapak atau ibu yang telah dipecat dan kekuasaan orang tua atau perwaliannya, menolak memberi izin atau tidak dapat menyatakan kehendaknya, maka berlakulah alinea kedua pasal yang lalu, asalkan orang tua yang tidak dipecat dan kekuasaan orang tua atau perwaliannya atas anaknya telah memberikan izin itu.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 37,"Bila bapak atau ibu telah meninggal atau berada dalam keadaan tidak mampu menyatakan kehendak mereka, maka mereka masing-masing harus digantikan oleh orang tua mereka, sejauh mereka masih hidup dan tidak dalam keadaan yang sama. Bila orang lain daripada orang-orang yang disebut di atas melakukan perwalian atas anak-anak di bawah umur itu, maka dalam hal seperti yang dimaksud dalam alinea yang lalu, si anak memerlukan lagi izin dari wali atau alinea dua pasal ini ada perbedaan pendapat atau wali pengawas, sesuai dengan perbedaan kedudukan yang dibuat dalam pasal yang lalu. Alinea kedua Pasal 35 berlaku, bila antara mereka yang izinnya diperlukan menurut alinea satu atau alinea dua pasal ini ada perbedaan pendapat atau bila salah satu atau lebih tidak menyatakan pendiriannya.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 38,"Bila bapak dan ibu serta kakek dan nenek si anak tidak ada, atau bila mereka semua berada dalam keadaan tak mampu menyatakan kehendak mereka, anak sah yang masih di bawah umur tidak boleh melakukan perkawinam tanpa izin wali dan wali pengawasnya. Bila baik wali maupun wali pengawas, atau salah seorang dari mereka, menolak untuk memberi izin atau tidak menyatakan pendirian maka Pengadilan Negeri di daerah tempat tinggal anak yang masih di bawah umur, atas permohonannya berwenang memberi izin untuk melakukan perkawinan, setelah mendengar atau memanggil dengan sah wali, wali pengawas dan keluarga sedarah atau keluarga semenda.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 39,"Anak luar kawin yang diakui sah, selama masih di bawah umur, tidak boleh melakukan perkawinan tanpa izin bapak dan ibu yang mengakuinya, sejauh kedua-duanya atau salah seorang masih hidup dan tidak berada dalam keadaan tak mampu menyatakan kehendak mereka. Bila semasa hidup bapak atau ibu yang mengakuinya orang lain yang melakukan perwalian atas anak itu, maka harus pula diperoleh izin dari wali itu atau dan wali pengawas bila izin itu diperlukan untuk perkawinan dengan wali itu sendiri atau dengan salah seorang dan keluarga sedarah dalam garis lurus.Bila terjadi perselisihan pendapat antara mereka yang izinnya diperlukan menurut alinea pertama dan kedua dan salah seorang atau lebih menolak memberi izin itu, maka Pengadilan Negeri di daerah hukum tempat tinggal anak yang di bawah umur itu, atas permohonan si anak, berkuasa memberi izin untuk melakukan perkawinan, setelah mendengar atau memanggil dengan sah mereka yang izinnya diperlukan. Bila baik bapak ataupun ibu yang mengakui anak di bawah umur itu telah meninggal atau berada dalam keadaan tidak mampu menyatakan kehendaknya, diperlukan izin dari wali dan wali pengawas.Bila kedua-duanya atau salah seorang menolak untuk memberi izin, atau tidak menyatakan pendirian, maka berlaku Pasal 38 alinea kedua, kecuali apa yang ditentukan di situ mengenai keluarga sedarah atau keluarga semenda. ",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 40,"Anak tidak sah yang tidak diakui, tidak boleh melakukan perkawinan tanpa izin wali atau wali pengawas, selama ia masih di bawah umur. Bila kedua-keduanya, atau salah seorang, menolak untuk memberikan izin atau untuk menyatakan pendirian, Pengadilan Negeri di daerah hukum tempat tinggal anak yang masih di bawah umur itu, atas permohonannya, berkuasa memberikan izin untuk itu, setelah mendengar atau memanggil dengan sah wali atau wali pengawas si anak. ",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 41,"Penetapan-penetapan Pengadilan Negeri dalam hal-hal yang termaksud dalam enam pasal yang lalu, diberikan tanpa bentuk hukum acara. Penetapan-penetapan itu, baik yang mengabulkan permohonan izin, maupun yang menolak, tidak dapat dimohonkan banding.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 42,"Anak sah yang telah dewasa, tetapi belum genap tiga puluh tahun, juga wajib untuk memohon izin bapak dan ibunya untuk melakukan perkawinan. Bila ia tidak memperoleh izin itu, Ia boleh memohon perantaraan Pengadilan Negeri tempat tinggalnya dan dalam hal itu harus diindahkan ketentuan-ketentuan dalam pasal-pasal berikut.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 43,"Dalam waktu tiga minggu, atau dalam jangka waktu yang lain jika dianggap perlu oleh Pengadilan Negeri, terhitung dari hari pengajuan surat permohonan itu, Pengadilan harus berusaha menghadapkan bapak dan ibu, beserta anak itu, agar dalam suatu sidang tertutup kepada mereka diberi penjelasan-penjelasan yang dianggap berguna oleh pengadilan demi kepentingan masing-masing. Mengenai pertemuan pihak-pihak tersebut harus dibuat berita acara tanpa mencantumkan alasan-alasan yang mereka kemukakan.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 44,"Bila baik pihaknya maupun ibunya tidak hadir, perkawinan dapat dilangsungkan dengan penunjukan akta yang memperlihatkan ketidakhadiran itu.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 45,"Bila anak itu tidak hadir, maka perkawinannya tidak dapat dilaksanakan, kecuali sesudah permohonan diajukan sekali lagi untuk perantaraan pengadilan.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 46,"Bila, sesudah anak itu dan kedua orang tuanya atau salah satu orang tua hadir, kedua orang tua itu atau salah seorang tetap menolak, maka perkawinan tidak boleh dilaksanakan bila belum lampau tiga bulan terhitung dari hari pertemuan itu.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 47,Ketentuan-ketentuan dalam lima pasal terakhir ini juga berlaku untuk anak tak sah terhadap bapak dan ibu yang mengakuinya.,Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 48,"Sekiranya kedua orang tua atau salah satu tidak berada di Indonesia, Presiden berkuasa memberi dispensasi dan kewajiban-kewajiban yang tercantum dalam Pasal 42 sampai dengan Pasal 47",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 49,"Dalam pengertian ketidakmungkinan bagi para orang tua atau para kakek nenek untuk memberi izin kepada anak di bawah umur untuk melakukan perkawinan, dalam hal-hal yang diatur dalam Pasal 35,37 dan 39, sekali-kali tidak termasuk ketidakhadiran terus-menerus atau sementara di Indonesia.",Acara Yang Harus Mendahului Perkawinan,Syarat-Syarat Dan Segala Sesuatu Yang Harus Dipenuhi Untuk Dapat Melakukan Perkawinan
Pasal 50,"Semua orang yang hendak melangsungkan perkawinan, harus memberitahukan hal itu kepada Pegawai Catatan Sipil di tempat tinggal salah satu pihak.",Acara Yang Harus Mendahului Perkawinan,Acara Yang Harus Mendahului Perkawinan
Pasal 51,"Pemberitahuan ini harus dilakukan, baik secara langsung, maupun dengan surat yang dengan cukup jelas memperlihatkan niat kedua calon suami-istri, dan tentang pemberitahuan itu harus dibuat sebuah akta oleh Pegawai Catatan Sipil.",Acara Yang Harus Mendahului Perkawinan,Acara Yang Harus Mendahului Perkawinan
Pasal 52,"Sebelum pelaksanaan perkawinan itu, Pegawai Catatan Sipil harus mengumumkan hal itu dan menempel surat pengumuman pada pintu utama gedung tempat penyimpanan daftar-daftar Catatan Sipil itu. Surat itu harus tetap tertempel selama sepuluh hari. Pengumuman itu tidak boleh dilangsungkan pada hari Minggu yang disamakan dengan hari Minggu dalam hal ini ialah hari Tahun Baru, hari Paskah kedua dan Pantekosta, hari Natal, hari Kenaikan Isa Almasih, dan hari Mi'raj Nabi Muhammad s. a. w.",Acara Yang Harus Mendahului Perkawinan,Acara Yang Harus Mendahului Perkawinan
Pasal 53,"Bila kedua calon suami isteri tidak bertempat tinggal dalam wilayah Catatan Sipil yang sama, maka pengumuman itu akan dilakukan oleh Pegawai Catatan Sipil di tempat tinggal masing- masing pihak.",Acara Yang Harus Mendahului Perkawinan,Acara Yang Harus Mendahului Perkawinan
Pasal 54,"Bila calon suami isteri belum sampai enam bulan penuh bertempat tinggal dalam daerah suatu Catatan Sipil, pengumumannya harus juga dilakukan oleh Pegawai Catatan Sipil di tempat tinggal mereka yang terakhir. Bila ada alasan-alasan yang penting dan kewajiban membuat pengumuman tersebut di atas boleh diberikan dispensasi oleh Kepala Pemerintahan Daerah yang di daerahnya telah dilakukan pemberitahuan kawin.",Acara Yang Harus Mendahului Perkawinan,Acara Yang Harus Mendahului Perkawinan
Pasal 57,"Bila perkawinan itu belum dilangsungkan dalam waktu satu tahun, terhitung dari waktu pengumuman, perkawinan itu tidak boleh dilangsungkan, kecuali bila sebelumnya diadakan pengumuman lagi.",Acara Yang Harus Mendahului Perkawinan,Acara Yang Harus Mendahului Perkawinan
Pasal 58,"Janji kawin tidak menimbulkan hak untuk menuntut di muka Hakim berlangsungnya perkawinan, juga tidak menimbulkan hak untuk menuntut penggantian biaya, kerugian dan bunga, akibat tidak dipenuhinya janji itu, semua persetujuan untuk ganti rugi dalam hal ini adalah batal. Akan tetapi, jika pemberitahuan kawin ini telah diikuti oleh suatu pengumuman,, maka ha! itu dapat menjadi dasar untuk menuntut penggantian biaya, kerugian dan bunga berdasarkan kerugian-kerugian yang nyata diderita oleh satu pihak atas barang-barangnya sebagai akibat dan penolakan pihak yang lain; dalam pada itu tak boleh diperhitungkan soal kehilangan keuntungan. Tuntutan ini lewat waktu dengan lampaunya waktu delapan belas bulan, terhitung dari pengumuman perkawinan itu",Acara Yang Harus Mendahului Perkawinan,Acara Yang Harus Mendahului Perkawinan
Pasal 59,Hak untuk mencegah berlangsungnya perkawinan hanya ada pada orang-orang dari dalam hal- hal yang disebut dalam pasal-pasal berikut.,Acara Yang Harus Mendahului Perkawinan,Pencegahan Perkawinan
Pasal 60,"Barang siapa masih terikat perkawinan dengan salah satu pihak, termasuk juga anak-anak yang lahir dari perkawinan ini, berhak mencegah perkawinan baru yang dilaksanakan, tetapi hanya berdasarkan perkawinan yang masih ada.",Acara Yang Harus Mendahului Perkawinan,Pencegahan Perkawinan
Pasal 61,"Bapak dan ibu dapat mencegah perkawinan dalam hal-hal: 1. bila anak mereka yang masih di bawah umur, belum mendapat izin2. bila anak mereka, yang sudah dewasa tetapi belum genap tiga puluh. tahun, lalai meminta izin mereka, dan dalam hal permohonan izin itu ditolak, lalai untuk meminta perantaraan Pengadilan Negeri seperti yang diwajibkan menurut Pasal 42.3. bila salah satu pihak, yang karena cacat mental berada dalam pengampuan, atau dengan alasan yang sama telah dimohonkan pengampuan, tetapi atas permohonan itu belum diambil keputusan; 4. bila salah satu pihak tidak memenuhi syarat-syarat untuk mengadakan perkawinan dengan ketentuan-ketentuan bagian pertama bab ini; 5. bila pengumuman perkawinan yang menjadi syarat tidak diadakan;6. bila salah satu pihak, karena sifat pemboros ditaruh di bawah pengampuan, dan perkawinan yang hendak dilangsungkan tampaknya akan membawa ketidak bahagiaanbagi anak mereka. Bila yang menjalankan perwalian atas anak itu orang lain daripada bapak atau ibunya, maka wali atau wali pengawasnya, bila yang disebut terakhir ini harus mengganti si wali, mempunyai hak yang sama dalam hal-hal seperti yang tercantum dalam nomor- nomor 1, 3, 4, 5 dan 6",Acara Yang Harus Mendahului Perkawinan,Pencegahan Perkawinan
Pasal 62,"Dalam hal kedua orang tua tidak ada, maka kakek nenek dan wali atau wali pengawas, bila yang disebut terakhir ini harus mengganti si wali, berhak untuk mencegah perkawinan dalam hal-hal seperti yang tercantum dalam nomor 3, 4, 5 dan 6Ã pasal yang lalu.Kakek nenek dan wali atau wali pengawas, bila yang disebut terakhir ini menggantikan si wali, berhak untuk mencegah perkawinan dalam hal- halyang tercantum pada nomor 1, jika izin mereka menjadi syarat. ",Acara Yang Harus Mendahului Perkawinan,Pencegahan Perkawinan
Pasal 63,"Dalam hal kakek nenek tidak ada, maka saudara laki-laki dan perempuan, paman dan bibi, demikian pula wali dan wali pengawas, pengampu dan pengampu pengawas, berhak mencegah perkawinan: 1. bila ketentuan-ketentuan Pasal 38 dan Pasal 40 mengenai memperoleh izin kawin tidak diindahkan; 2. karena alasan-alasan seperti yang tercantum dalam nomor 3,4,5, dan 6 Pasal 61",Acara Yang Harus Mendahului Perkawinan,Pencegahan Perkawinan
Pasal 64,"Suami yang perkawinannya telah bubar karena perceraian, boleh mencegah perkawinan bekas isterinya, bila dia hendak kawin lagi sebelum lampau tiga ratus hari sejak pembubaran perkawinan yang dulu.",Acara Yang Harus Mendahului Perkawinan,Pencegahan Perkawinan
Pasal 65,Kejaksaan wajib mencegah perkawinan yang hendak dilangsungkan dalam hal-hal yang tercantum dalam Pasal 27 sampai dengan 34.,Acara Yang Harus Mendahului Perkawinan,Pencegahan Perkawinan
